"COMID","drywet_mean","drywet_stdev","FAXVIR_mean","FAXVIR_stdev"
15901671,0.0357142857142857,0.18585364625199,0.131034482758621,0.338021362806257
15901673,0.196428571428571,0.397888885283295,0.0793103448275862,0.270689636172811
15901675,0.630952380952381,0.483266544413679,0.117241379310345,0.322263797804304
15901677,0.491071428571429,0.500665867920552,0.0862068965517241,0.281154488349475
15901679,0.494047619047619,0.500710227630728,0.0931034482758621,0.291079644605457
15901681,0.613095238095238,0.487767931584001,0.1,0.300518582928113
15901683,0.648809523809524,0.478054277220409,0.0758620689655172,0.265234990690071
15901685,0.160714285714286,0.367814962286577,0.0517241379310345,0.22185236160474
15901687,0.175595238095238,0.381042877488504,0.0931034482758621,0.291079644605457
15901689,0.193452380952381,0.395593622475853,0.0517241379310345,0.22185236160474
15901691,0.0416666666666667,0.2001243394587,0.110344827586207,0.313860687569385
15901693,0.49702380952381,0.500736841570541,0.0827586206896552,0.275993287011839
15901695,0.0297619047619048,0.170183228319177,0.103448275862069,0.305069914978024
15901697,0.0267857142857143,0.161697419389118,0.13448275862069,0.341760010162097
15901699,0.589285714285714,0.492697202193234,0.0862068965517241,0.281154488349475
15901701,0.0297619047619048,0.170183228319177,0.0793103448275862,0.270689636172811
15901703,0.110119047619048,0.313504958365394,0.127586206896552,0.334205199510759
15901705,0.648809523809524,0.478054277220409,0.0724137931034483,0.259619833488468
15901707,0.0327380952380952,0.178215708240951,0.0689655172413793,0.253833512551086
15901709,0.508928571428571,0.500665867920552,0.0758620689655172,0.265234990690071
15901711,0.181547619047619,0.386046146951894,0.0793103448275862,0.270689636172811
15901713,0.458333333333333,0.499003983074663,0.0620689655172414,0.241697848353228
15901715,0.0267857142857143,0.161697419389118,0.117241379310345,0.322263797804304
15901717,0.613095238095238,0.487767931584001,0.0655172413793104,0.2478640408504
15901721,0.592261904761905,0.492146929135856,0.203448275862069,0.403259006142553
15901723,0.607142857142857,0.489113902257606,0.103448275862069,0.305069914978024
15901725,0.166666666666667,0.37323381758231,0.0758620689655172,0.265234990690071
15901729,0.18452380952381,0.388489319892092,0.0896551724137931,0.286180947412183
15901731,0.125,0.331212156385169,0.0482758620689655,0.214719080424608
15901733,0.12797619047619,0.334561525517785,0.0310344827586207,0.173710669593725
15901735,0.172619047619048,0.378481235316695,0.0379310344827586,0.191359718697804
15901737,0.625,0.484844951366591,0.0620689655172414,0.241697848353228
15901741,0.172619047619048,0.378481235316695,0.0586206896551724,0.235319471250672
15901743,0.0208333333333333,0.143039152000336,0.127586206896552,0.334205199510759
15901745,0.380952380952381,0.486345173283753,0.0724137931034483,0.259619833488468
15901747,0.4375,0.496818234577753,0.0551724137931034,0.228711157795233
15901749,0.0327380952380952,0.178215708240951,0.0758620689655172,0.265234990690071
15901751,0.5625,0.496818234577753,0.0827586206896552,0.275993287011839
15901753,0.104166666666667,0.305932226748318,0.0137931034482759,0.116832882544353
15901755,0.580357142857143,0.494236504939183,0.244827586206897,0.430728205228797
15901757,0.25297619047619,0.435365771111252,0.0793103448275862,0.270689636172811
15901759,0.37797619047619,0.485604789280041,0.0931034482758621,0.291079644605457
15901761,0.0654761904761905,0.247733148497027,0.0724137931034483,0.259619833488468
15901763,0.56547619047619,0.496433620668385,0.131034482758621,0.338021362806257
15901767,0.107142857142857,0.30975607708665,0.0620689655172414,0.241697848353228
15901771,0.553571428571429,0.497863238086478,0.0310344827586207,0.173710669593725
15901773,0.220238095238095,0.415025195970907,0.0931034482758621,0.291079644605457
